ATC,tsne0,tsne1,tsne2
G03GA01,11.8530611753,-6.06404917498,-9.75896000773
A07AA11,-2.26470547538,12.4334479775,-5.8204300908
N06DA03,-19.0790870397,2.91373345179,-12.347517646
C03BA04,4.84594682689,13.8484879758,-7.03264336569
R03BA01,13.5322875526,2.49939855349,14.2526110129
A02BX02,15.7107527069,6.80393087197,6.87970184414
B01AC04,-3.456594521,9.15203544572,-11.2074352582
D01BA02,12.8538252398,5.21342615802,3.04396750149
C08DB01,17.9334422029,-1.59505610033,2.14774592173
C02KX01,11.0657983641,-15.6545223274,-6.32596268649
N05AF01,11.8514473313,-16.4051944627,8.90584812314
A10BD02,13.1818903828,19.0158086399,-7.18541165338
N05BA01,-0.878686464096,-0.3561803245,13.6008586056
L01XE36,7.93371956027,9.17658210348,24.8632977342
L03AB60,4.71409529093,-14.9177683289,-7.83154761756
J05AF08,-4.66815393652,-3.51642613434,12.6331102167
L01XE18,5.15294728942,-1.09492507337,10.4665406839
L01XC11,-8.11581428176,5.04348528499,10.7746728423
R03AC02,-14.0506788117,-5.03442511017,4.07786683099
D05AX02,-6.3122594088,-16.139562142,-11.0184271691
N05BA08,-5.34086378127,15.5896321457,2.30634775067
H03BA02,7.91684224517,9.18736533104,-4.82235790541
S01BA02,20.0217871244,-7.78639730943,-1.9249189973
C09DA07,6.99328748715,5.56837680051,16.2863983612
M01AC06,0.492761775011,-5.12369037994,-4.71977199784
G04CB02,6.12103343134,-5.77660430286,4.90079798329
J01XC01,-6.77123525473,6.04296427248,-7.84018941852
D02AC,-8.70409284556,11.62982261,2.75547455911
L01BB02,-3.07636334667,-5.79947954082,-8.75186861218
A02BX,-0.0748781764216,15.4152885465,1.64060179324
H02AB02,-0.847543570181,0.537419864608,0.480851756086
R05CB16,-22.8394244468,-3.44210811883,-4.65094902003
J01CR03,2.33768555955,6.08303197321,-11.9710925191
L03AB11,-14.6782560011,9.08571165727,-7.50184767995
L04AD02,-0.617409968967,-8.96216753761,-21.9295616251
M01CA,-2.85991584201,-17.1775481181,-1.14797297779
C09DA04,9.0922518578,5.96124837495,14.212975388
J05AB14,-2.15363094254,-7.72598983545,-18.675018799
N06AA02,12.6749164724,9.94769920633,-4.22665089729
C07AB07,2.78690750368,-21.5370636092,-4.13989629875
D07AC13,9.81127735762,2.38901724134,17.7117576025
D04AB01,-8.52385765889,9.24864917569,10.2367456522
H02AA02,-12.5994103901,-1.47529973763,1.74163716567
J05AR03,13.9130881338,6.85954054978,-12.0518249721
L01XE29,4.0870354852,7.86436398235,8.61649100084
A10BB07,13.9194551292,19.6166426495,-9.44846298458
L01BA01,-0.213711772845,-15.61971575,-4.45471459097
J05AE07,12.6916418612,1.76000403951,-12.1483095272
A10BH05,18.171000168,15.0444652545,13.1026991197
N04AA01,13.5091804718,1.25370415666,-4.87361356315
N06AX11,11.161306635,12.7249226098,-2.66419042293
A02BA02,10.1396012897,9.91092534891,5.25978720297
L01XE06,3.22286637673,3.96916470955,11.3969839403
D01AE15,-8.86583554335,-15.3946469702,0.126848188115
L01XE17,-5.88960502587,7.55192658138,15.1548366382
J05AR,9.34002029852,4.57280753705,-11.6099117621
A07AA01,5.04904487462,7.98943636336,2.80722302065
H01AA02,2.15447690303,8.54536807645,3.45808818352
L01XE10,4.36428620572,-8.52161314931,-13.8778445439
N04BC07,-11.8206407971,1.27580069655,-3.45628635436
S01AE03,19.8287480523,-6.83094477326,-5.4695602957
L02BA01,7.2391049058,-4.14988859486,-17.2217949358
C10AA05,5.94136257084,-13.5293679217,11.5608408426
N04BA02,1.95749878378,15.3802247223,6.24081662746
L04AC01,4.24274232767,4.17830884909,0.490734723954
L01AA03,-7.43965583056,-14.2525544972,7.97349540865
L01XE28,-15.0127428893,-12.6335866141,-14.5548136467
A08AB01,-9.27424801239,8.01221241678,2.88649846455
V06D,-4.33458971351,8.88404637362,-1.62292396863
P01BC01,-2.63542958478,11.7579365611,-0.376551030729
J05AP54,-15.9459919438,11.3833358341,-4.30406841565
S01LA04,3.71163659037,21.4834318203,6.8220033942
C02KX05,0.377451797141,6.16529576249,6.8785862445
P02CA03,-3.0745938549,1.15835632283,-6.72432436793
M01AB01,2.71777432328,-6.62914046643,-2.97735721715
A07EC01,1.0435520818,-13.6939552716,-3.984807358
N07BA,12.2886414846,10.6148397238,-7.94815368827
R03BB01,13.6202718798,-1.19835064126,11.4998286092
G03BA03,6.3325185998,-3.65927882041,1.79447130463
N05BA12,13.4791732511,7.07614384654,-0.781743680477
C09AA04,15.8447317803,-10.8373466998,4.09569580347
G03GB02,7.61025233435,12.0753700365,-14.4588974257
J01DC04,6.75593605757,-6.67412614339,-0.908009256621
R03BB06,-12.3802004389,20.0262446881,13.1959135986
L04AA25,-2.1051197727,4.93449191831,5.18095542627
R03BA02,14.7913543412,2.18453437323,15.5723373386
L01CA01,-6.44185094798,-3.92074610365,3.51371729581
N04BD01,-10.812993834,1.18376237503,-5.46977760129
N03AG04,7.70719862617,-0.752492833363,-4.55680996823
